rank,athlete,country,time,time_sec,sb,dnf,dob,age,sex,olympic,lockdown,prior_attend,case_pp,gdp2016,gdp2017,gdp2018,gdp2019,gdp2020,continent
20,Eyob Faniel,Italy,2H 15M 11S,8111,1,0,1992-11-26,28,Men,Tokyo2020,1,0,0.07115883099002564,1875800000000,1956950000000,2091120000000,2004910000000,1886450000000,Europe
21,Daniel Mateo,Spain,2H 15M 21S,8121,1,0,1989-08-31,31,Men,Tokyo2020,1,0,0.09088392090280903,1232080000000,1309300000000,1420300000000,1393050000000,1281480000000,Europe
22,Yohanes Ghebregergis,Eritrea,2H 15M 34S,8134,0,0,1989-01-01,32,Men,Tokyo2020,1,0,0.0018271911419578072,NA,NA,NA,NA,NA,Africa
23,Abdi Hakin Ulad,Denmark,2H 15M 50S,8150,1,0,1991-06-14,30,Men,Tokyo2020,1,1,0.05318668343951129,313116000000,332121000000,356841000000,347561000000,356085000000,Europe
24,Liam Adams,Australia,2H 15M 51S,8151,1,0,1986-09-04,34,Men,Tokyo2020,1,1,0.0012797479938883804,1208850000000,1329190000000,1432880000000,1396570000000,1330900000000,Oceania
25,El-Hassan El-Abbassi,Bahrain,2H 15M 56S,8156,1,0,1984-04-13,37,Men,Tokyo2020,1,0,0.15763262797054273,32234973404,35473776596,37652500000,38474521277,NA,Asia
26,Richard Ringer,Germany,2H 16M 8S,8168,0,0,1989-02-27,32,Men,Tokyo2020,1,0,0.04519780649230953,3467500000000,3681730000000,3975350000000,3888330000000,3846410000000,Europe
27,Tiidrek Nurme,Estonia,2H 16M 16S,8176,1,0,1985-11-11,35,Men,Tokyo2020,1,1,0.09964200072519541,24056487771,26857880622,30474612057,31045591753,30650285472,Europe
28,Girmaw Amare,Israel,2H 16M 17S,8177,0,0,1987-10-26,33,Men,Tokyo2020,1,0,0.0990101023148062,318617000000,352668000000,370456000000,394652000000,401954000000,Asia
29,Jacob Riley,United States,2H 16M 26S,8186,1,0,1988-11-02,32,Men,Tokyo2020,1,0,0.10431821030985437,18745100000000,19543000000000,20611900000000,21433200000000,20936600000000,North America
30,Amanal Petros,Germany,2H 16M 33S,8193,1,0,1995-05-17,26,Men,Tokyo2020,1,0,0.04519780649230953,3467500000000,3681730000000,3975350000000,3888330000000,3846410000000,Europe
31,Eulalio Muñoz,Argentina,2H 16M 35S,8195,1,0,1995-07-16,26,Men,Tokyo2020,1,0,0.10647789062239156,557531000000,643629000000,517627000000,445445000000,383067000000,South America
32,Peng Jianhua,China,2H 16M 39S,8199,0,0,1996-12-18,24,Men,Tokyo2020,1,0,6.553293262407884e-5,11233300000000,12310400000000,13894800000000,14279900000000,14722700000000,Asia
33,Javier Guerra,Spain,2H 16M 42S,8202,1,0,1983-11-10,37,Men,Tokyo2020,1,0,0.09088392090280903,1232080000000,1309300000000,1420300000000,1393050000000,1281480000000,Europe
34,Elroy Gelant,South Africa,2H 16M 43S,8203,0,0,1986-08-25,34,Men,Tokyo2020,1,0,0.03949387518085461,296357000000,349554000000,368289000000,351432000000,301924000000,Africa
35,Oqbe Kibrom Ruesom,Eritrea,2H 16M 57S,8217,1,0,1998-01-01,23,Men,Tokyo2020,1,0,0.0018271911419578072,NA,NA,NA,NA,NA,Africa
36,Zane Robertson,New Zealand,2H 17M 4S,8224,1,0,1989-11-14,31,Men,Tokyo2020,1,0,5.922567408086669e-4,188943000000,206951000000,212226000000,212891000000,210886000000,Oceania
37,Haimro Alame,Israel,2H 17M 17S,8237,0,0,1990-06-08,31,Men,Tokyo2020,1,0,0.0990101023148062,318617000000,352668000000,370456000000,394652000000,401954000000,Asia
38,Adam Nowicki,Poland,2H 17M 19S,8239,0,0,1990-08-24,30,Men,Tokyo2020,1,0,0.0761452711544404,472630000000,526509000000,587409000000,595862000000,594165000000,Europe
39,Olivier Irabaruta,Burundi,2H 17M 44S,8264,1,0,1990-08-25,30,Men,Tokyo2020,0,0,5.061063692956754e-4,2959641047,3172292379,3036937141,3012308946,3258187233,Africa
40,Sondre Nordstad Moen,Norway,2H 17M 59S,8279,1,0,1991-01-12,30,Men,Tokyo2020,1,1,0.024945390742564157,368827000000,398394000000,437000000000,405510000000,362522000000,Europe
41,Abdihakem Abdirahman,United States,2H 18M 27S,8307,1,0,1977-01-01,44,Men,Tokyo2020,1,0,0.10431821030985437,18745100000000,19543000000000,20611900000000,21433200000000,20936600000000,North America
42,Tomas Hilifa Rainhold,Namibia,2H 18M 28S,8308,0,0,1991-02-07,30,Men,Tokyo2020,1,0,0.04502313338969096,10721994676,12895153157,13681065175,12565772085,10699926683,Africa
43,Derlis Ayala,Paraguay,2H 18M 34S,8314,1,0,1990-01-07,31,Men,Tokyo2020,1,1,0.0627917443039146,36089550659,38997129474,40225448341,37906944075,35304238230,South America
44,Fred Musobo,Uganda,2H 18M 39S,8319,0,0,1996-08-12,24,Men,Tokyo2020,1,0,0.0019972234975186376,29078589751,30744473840,32912338571,35170037381,37372032558,Africa
45,Hassan Chahdi,France,2H 18M 40S,8320,1,0,1989-05-07,32,Men,Tokyo2020,1,0,0.0918954395032031,2471290000000,2588740000000,2789590000000,2728870000000,2630320000000,Africa
46,Ben Preisner,Canada,2H 19M 27S,8367,1,0,1996-03-22,25,Men,Tokyo2020,1,0,0.03745756300222757,1527990000000,1649270000000,1721850000000,1741580000000,1644040000000,North America
47,Yassine El Fathaoui,Italy,2H 19M 44S,8384,1,0,1982-03-23,39,Men,Tokyo2020,1,0,0.07115883099002564,1875800000000,1956950000000,2091120000000,2004910000000,1886450000000,Europe
48,Trevor Hofbauer,Canada,2H 19M 57S,8397,1,0,1992-03-08,29,Men,Tokyo2020,1,0,0.03745756300222757,1527990000000,1649270000000,1721850000000,1741580000000,1644040000000,North America
49,Shim Jung-sub,South Korea,2H 20M 36S,8436,0,0,1991-02-21,30,Men,Tokyo2020,0,1,0.0036227025501849716,1500110000000,1623900000000,1724850000000,1646740000000,1630530000000,Asia
50,Hendrik Pfeiffer,Germany,2H 20M 43S,8443,1,0,1993-03-18,28,Men,Tokyo2020,1,0,0.04519780649230953,3467500000000,3681730000000,3975350000000,3888330000000,3846410000000,Europe
51,Felix Chemonges,Uganda,2H 20M 53S,8453,0,0,1995-10-10,25,Men,Tokyo2020,1,0,0.0019972234975186376,29078589751,30744473840,32912338571,35170037381,37372032558,Africa
52,Yavuz Ağralı,Turkey,2H 21M 0S,8460,0,0,1992-04-09,29,Men,Tokyo2020,1,0,0.06597064916546919,869693000000,858996000000,778377000000,761428000000,720101000000,Asia
53,Joaquín Arbe,Argentina,2H 21M 15S,8475,1,0,1990-08-25,30,Men,Tokyo2020,1,0,0.10647789062239156,557531000000,643629000000,517627000000,445445000000,383067000000,South America
54,Chris Thompson,Great Britain,2H 21M 29S,8489,0,0,1981-04-17,40,Men,Tokyo2020,1,0,0.08288519972393721,2693250000000,2662480000000,2857320000000,2830810000000,2707740000000,Europe
55,Tseveenravdangiin Byambajav,Mongolia,2H 21M 32S,8492,1,0,1990-07-07,31,Men,Tokyo2020,1,0,0.04653002234090191,11186734674,11425755280,13108769496,13996719329,13137128659,Asia
56,José Luis Santana,Mexico,2H 21M 32S,8492,1,0,1989-09-29,31,Men,Tokyo2020,1,0,0.02120424545813352,1078490000000,1158910000000,1222350000000,1268870000000,1076160000000,North America
57,Dong Guojian,China,2H 21M 35S,8495,0,0,1987-03-16,34,Men,Tokyo2020,1,1,6.553293262407884e-5,11233300000000,12310400000000,13894800000000,14279900000000,14722700000000,Asia
58,Kevin Seaward,Ireland,2H 21M 45S,8505,1,0,1983-10-03,37,Men,Tokyo2020,1,1,0.058556287056006365,298725000000,334602000000,384854000000,399122000000,425889000000,Europe
59,Dieter Kersten,Belgium,2H 22M 6S,8526,0,0,1996-10-25,24,Men,Tokyo2020,1,0,0.09677157756863718,475740000000,501523000000,543411000000,533255000000,515332000000,Europe
60,Cristhian Pacheco,Peru,2H 22M 12S,8532,1,0,1993-05-26,28,Men,Tokyo2020,1,1,0.06367620423800353,191896000000,211007000000,222575000000,228471000000,202014000000,South America
61,Peter Herzog,Austria,2H 22M 15S,8535,1,0,1987-08-01,34,Men,Tokyo2020,1,0,0.07274793480191863,395569000000,416207000000,454873000000,445075000000,430947000000,Europe
62,Shogo Nakamura,Japan,2H 22M 23S,8543,1,0,1992-09-16,28,Men,Tokyo2020,0,0,0.006781696875160751,5003680000000,4930840000000,5036890000000,5148780000000,4975420000000,Asia
63,Arkadiusz Gardzielewski,Poland,2H 22M 50S,8570,0,0,1986-06-12,35,Men,Tokyo2020,1,0,0.0761452711544404,472630000000,526509000000,587409000000,595862000000,594165000000,Europe
64,Malcolm Hicks,New Zealand,2H 23M 12S,8592,1,0,1987-10-19,33,Men,Tokyo2020,1,0,5.922567408086669e-4,188943000000,206951000000,212226000000,212891000000,210886000000,Oceania
65,Juan Pacheco,Mexico,2H 23M 41S,8621,1,0,1990-12-11,30,Men,Tokyo2020,1,0,0.02120424545813352,1078490000000,1158910000000,1222350000000,1268870000000,1076160000000,North America
66,Brett Robinson,Australia,2H 24M 4S,8644,1,0,1991-05-08,30,Men,Tokyo2020,1,0,0.0012797479938883804,1208850000000,1329190000000,1432880000000,1396570000000,1330900000000,Oceania
67,Khoarahlane Seutloali,Lesotho,2H 25M 3S,8703,1,0,1992-03-30,29,Men,Tokyo2020,1,0,0.005918538061815323,2114323794,2306843529,2514146888,2366213069,1844510138,Africa
68,Roman Fosti,Estonia,2H 25M 37S,8737,0,0,1983-06-06,38,Men,Tokyo2020,1,1,0.09964200072519541,24056487771,26857880622,30474612057,31045591753,30650285472,Europe
69,Paulo Roberto Paula,Brazil,2H 26M 8S,8768,1,0,1979-07-08,42,Men,Tokyo2020,1,1,0.09185060822219354,1795700000000,2063510000000,1916950000000,1877810000000,1444730000000,South America
70,Thijs Nijhuis,Denmark,2H 26M 59S,8819,1,0,1992-09-20,28,Men,Tokyo2020,1,0,0.05318668343951129,313116000000,332121000000,356841000000,347561000000,356085000000,Europe
71,Paul Pollock,Ireland,2H 27M 48S,8868,1,0,1986-06-25,35,Men,Tokyo2020,1,1,0.058556287056006365,298725000000,334602000000,384854000000,399122000000,425889000000,Europe
72,Cameron Levins,Canada,2H 28M 43S,8923,0,0,1989-03-28,32,Men,Tokyo2020,1,0,0.03745756300222757,1527990000000,1649270000000,1721850000000,1741580000000,1644040000000,North America
73,Yuma Hattori,Japan,2H 30M 8S,9008,1,0,1993-11-13,27,Men,Tokyo2020,0,0,0.006781696875160751,5003680000000,4930840000000,5036890000000,5148780000000,4975420000000,Asia
74,Jesús Arturo Esparza,Mexico,2H 31M 51S,9111,1,0,1990-08-26,30,Men,Tokyo2020,1,0,0.02120424545813352,1078490000000,1158910000000,1222350000000,1268870000000,1076160000000,North America
75,Jorge Castelblanco,Panama,2H 33M 22S,9202,1,0,1987-09-23,33,Men,Tokyo2020,1,1,0.09892745102401798,57907700000,62202700000,64928300000,66787900000,52938100000,North America
76,Iván Zarco,Honduras,2H 44M 36S,9876,1,0,1984-02-08,37,Men,Tokyo2020,1,0,0.02881234673800316,21717622071,23136232230,24067778954,25089976947,23827840810,North America
NA,Amos Kipruto,Kenya,NA,NA,NA,1,1992-09-16,28,Men,Tokyo2020,1,0,0.00362853418087344,69188755364,78965004656,87778582964,95503088538,98842939649,Africa
NA,Bart van Nunen,Netherlands,NA,NA,NA,1,1995-09-24,25,Men,Tokyo2020,1,0,0.10831664757596977,783528000000,831810000000,913597000000,910194000000,913865000000,Europe
NA,Stephen Mokoka,South Africa,NA,NA,NA,1,1985-01-31,36,Men,Tokyo2020,1,0,0.03949387518085461,296357000000,349554000000,368289000000,351432000000,301924000000,Africa
NA,Lelisa Desisa,Ethiopia,NA,NA,NA,1,1990-01-14,31,Men,Tokyo2020,1,0,0.0024190703937959205,74296618481,81770791971,84269348327,95912590628,107645000000,Africa
NA,John Hakizimana,Rwanda,NA,NA,NA,1,1996-10-26,24,Men,Tokyo2020,1,0,0.00473857393746503,8690485823,9253098954,9640280084,10355974217,10333991892,Africa
NA,Khalid Choukoud,Netherlands,NA,NA,NA,1,1986-03-23,35,Men,Tokyo2020,1,0,0.10831664757596977,783528000000,831810000000,913597000000,910194000000,913865000000,Europe
NA,Marcin Chabowski,Poland,NA,NA,NA,1,1986-06-28,35,Men,Tokyo2020,1,0,0.0761452711544404,472630000000,526509000000,587409000000,595862000000,594165000000,Europe
NA,Ben Connor,Great Britain,NA,NA,NA,1,1992-10-17,28,Men,Tokyo2020,1,0,0.08288519972393721,2693250000000,2662480000000,2857320000000,2830810000000,2707740000000,Europe
NA,Desmond Mokgobu,South Africa,NA,NA,NA,1,1988-11-23,32,Men,Tokyo2020,1,0,0.03949387518085461,296357000000,349554000000,368289000000,351432000000,301924000000,Africa
NA,Bat-Ochiryn Ser-Od,Mongolia,NA,NA,NA,1,1981-10-07,39,Men,Tokyo2020,1,1,0.04653002234090191,11186734674,11425755280,13108769496,13996719329,13137128659,Asia
NA,Daniel Ferreira do Nascimento,Brazil,NA,NA,NA,1,1998-07-28,23,Men,Tokyo2020,1,0,0.09185060822219354,1795700000000,2063510000000,1916950000000,1877810000000,1444730000000,South America
NA,Tadesse Abraham,Switzerland,NA,NA,NA,1,1982-08-12,38,Men,Tokyo2020,1,1,0.08225400589604301,695601000000,704479000000,735539000000,731767000000,752248000000,Europe
NA,Yassine Rachik,Italy,NA,NA,NA,1,1993-06-11,28,Men,Tokyo2020,1,0,0.07115883099002564,1875800000000,1956950000000,2091120000000,2004910000000,1886450000000,Europe
NA,Callum Hawkins,Great Britain,NA,NA,NA,1,1992-06-22,29,Men,Tokyo2020,1,1,0.08288519972393721,2693250000000,2662480000000,2857320000000,2830810000000,2707740000000,Europe
NA,Bohdan-Ivan Horodyskyy,Ukraine,NA,NA,NA,1,1994-05-18,27,Men,Tokyo2020,1,0,0.05310176973353697,93355993629,112190000000,130902000000,153930000000,155582000000,Europe
NA,Polat Kemboi Arıkan,Turkey,NA,NA,NA,1,1990-12-12,30,Men,Tokyo2020,1,0,0.06597064916546919,869693000000,858996000000,778377000000,761428000000,720101000000,Asia
NA,Iván Darío González,Colombia,NA,NA,NA,1,1987-08-14,33,Men,Tokyo2020,1,0,0.09222295654468013,282825000000,311884000000,334198000000,323430000000,271347000000,South America
NA,Sisay Lemma,Ethiopia,NA,NA,NA,1,1990-12-12,30,Men,Tokyo2020,1,0,0.0024190703937959205,74296618481,81770791971,84269348327,95912590628,107645000000,Africa
NA,Shumi Dechasa,Bahrain,NA,NA,NA,1,1989-05-28,32,Men,Tokyo2020,1,0,0.15763262797054273,32234973404,35473776596,37652500000,38474521277,NA,Asia
NA,Mykola Nyzhnyk,Ukraine,NA,NA,NA,1,1995-07-26,26,Men,Tokyo2020,1,0,0.05310176973353697,93355993629,112190000000,130902000000,153930000000,155582000000,Europe
NA,Lemawork Ketema,Austria,NA,NA,NA,1,1985-10-22,35,Men,Tokyo2020,1,0,0.07274793480191863,395569000000,416207000000,454873000000,445075000000,430947000000,Europe
NA,Stephen Scullion,Ireland,NA,NA,NA,1,1988-11-09,32,Men,Tokyo2020,1,0,0.058556287056006365,298725000000,334602000000,384854000000,399122000000,425889000000,Europe
NA,Oh Joo-han,South Korea,NA,NA,NA,1,1988-11-20,32,Men,Tokyo2020,0,0,0.0036227025501849716,1500110000000,1623900000000,1724850000000,1646740000000,1630530000000,Asia
NA,Alemu Bekele,Bahrain,NA,NA,NA,1,1990-03-23,31,Men,Tokyo2020,1,1,0.15763262797054273,32234973404,35473776596,37652500000,38474521277,NA,Asia
NA,Stephen Kiprotich,Uganda,NA,NA,NA,1,1989-02-27,32,Men,Tokyo2020,1,1,0.0019972234975186376,29078589751,30744473840,32912338571,35170037381,37372032558,Africa
NA,Gabriel Geay,Tanzania,NA,NA,NA,1,1996-09-10,24,Men,Tokyo2020,0,0,8.52107987092757e-6,49774021003,53320625959,57003713748,61136873747,62409748427,Africa
NA,Daniel Chaves da Silva,Brazil,NA,NA,NA,1,1988-07-10,33,Men,Tokyo2020,1,0,0.09185060822219354,1795700000000,2063510000000,1916950000000,1877810000000,1444730000000,South America
NA,Oleksandr Sitkovskyy,Ukraine,NA,NA,NA,1,1978-06-09,43,Men,Tokyo2020,1,1,0.05310176973353697,93355993629,112190000000,130902000000,153930000000,155582000000,Europe
NA,Shura Kitata,Ethiopia,NA,NA,NA,1,1996-06-09,25,Men,Tokyo2020,1,0,0.0024190703937959205,74296618481,81770791971,84269348327,95912590628,107645000000,Africa
NA,Jack Rayner,Australia,NA,NA,NA,1,1995-12-19,25,Men,Tokyo2020,1,0,0.0012797479938883804,1208850000000,1329190000000,1432880000000,1396570000000,1330900000000,Oceania
1,Peres Jepchirchir,Kenya,2H 27M 20S,8840,1,0,1993-09-27,27,Women,Tokyo2020,1,0,0.00362853418087344,69188755364,78965004656,87778582964,95503088538,98842939649,Africa
2,Brigid Kosgei,Kenya,2H 27M 36S,8856,1,0,1994-02-20,27,Women,Tokyo2020,1,0,0.00362853418087344,69188755364,78965004656,87778582964,95503088538,98842939649,Africa
3,Molly Seidel,United States,2H 27M 46S,8866,1,0,1994-07-12,27,Women,Tokyo2020,1,0,0.10431821030985437,18745100000000,19543000000000,20611900000000,21433200000000,20936600000000,North America
4,Roza Dereje,Ethiopia,2H 28M 38S,8918,1,0,1997-05-09,24,Women,Tokyo2020,1,0,0.0024190703937959205,74296618481,81770791971,84269348327,95912590628,107645000000,Africa
5,Volha Mazuronak,Belarus,2H 29M 6S,8946,1,0,1989-04-14,32,Women,Tokyo2020,1,1,0.046316978754346476,47722657821,54726595249,60031262269,64409647194,60258239056,Europe
6,Melat Yisak Kejeta,Germany,2H 29M 16S,8956,1,0,1992-09-27,28,Women,Tokyo2020,1,0,0.04519780649230953,3467500000000,3681730000000,3975350000000,3888330000000,3846410000000,Europe
7,Eunice Chumba,Bahrain,2H 29M 36S,8976,0,0,1993-05-23,28,Women,Tokyo2020,1,0,0.15763262797054273,32234973404,35473776596,37652500000,38474521277,NA,Asia
8,Mao Ichiyama,Japan,2H 30M 13S,9013,0,0,1997-05-29,24,Women,Tokyo2020,0,0,0.006781696875160751,5003680000000,4930840000000,5036890000000,5148780000000,4975420000000,Asia
9,Malindi Elmore,Canada,2H 30M 59S,9059,1,0,1980-03-13,41,Women,Tokyo2020,1,0,0.03745756300222757,1527990000000,1649270000000,1721850000000,1741580000000,1644040000000,North America
10,Sinead Diver,Australia,2H 31M 14S,9074,1,0,1977-02-17,44,Women,Tokyo2020,1,0,0.0012797479938883804,1208850000000,1329190000000,1432880000000,1396570000000,1330900000000,Oceania
11,Helalia Johannes,Namibia,2H 31M 22S,9082,1,0,1980-08-13,40,Women,Tokyo2020,1,1,0.04502313338969096,10721994676,12895153157,13681065175,12565772085,10699926683,Africa
12,Fabienne Schlumpf,Switzerland,2H 31M 36S,9096,0,0,1990-11-17,30,Women,Tokyo2020,1,0,0.08225400589604301,695601000000,704479000000,735539000000,731767000000,752248000000,Europe
13,Natasha Wodak,Canada,2H 31M 41S,9101,1,0,1981-12-17,39,Women,Tokyo2020,1,0,0.03745756300222757,1527990000000,1649270000000,1721850000000,1741580000000,1644040000000,North America
14,Karolina Jarzyńska,Poland,2H 32M 4S,9124,1,0,1981-09-06,39,Women,Tokyo2020,1,0,0.0761452711544404,472630000000,526509000000,587409000000,595862000000,594165000000,Europe
15,Gerda Steyn,South Africa,2H 32M 10S,9130,0,0,1990-03-03,31,Women,Tokyo2020,1,0,0.03949387518085461,296357000000,349554000000,368289000000,351432000000,301924000000,Africa
16,Immaculate Chemutai,Uganda,2H 32M 23S,9143,0,0,1987-12-02,33,Women,Tokyo2020,1,0,0.0019972234975186376,29078589751,30744473840,32912338571,35170037381,37372032558,Africa
17,Sally Kipyego,United States,2H 32M 53S,9173,1,0,1985-12-19,35,Women,Tokyo2020,1,0,0.10431821030985437,18745100000000,19543000000000,20611900000000,21433200000000,20936600000000,North America
18,Deborah Schöneborn,Germany,2H 33M 8S,9188,1,0,1994-03-13,27,Women,Tokyo2020,1,0,0.04519780649230953,3467500000000,3681730000000,3975350000000,3888330000000,3846410000000,Europe
19,Ayuko Suzuki,Japan,2H 33M 14S,9194,1,0,1991-10-08,29,Women,Tokyo2020,0,0,0.006781696875160751,5003680000000,4930840000000,5036890000000,5148780000000,4975420000000,Asia
20,Neheng Khatala,Lesotho,2H 33M 15S,9195,0,0,1992-07-02,29,Women,Tokyo2020,1,0,0.005918538061815323,2114323794,2306843529,2514146888,2366213069,1844510138,Africa
21,Matea Parlov Koštro,Croatia,2H 33M 18S,9198,1,0,1992-06-02,29,Women,Tokyo2020,1,0,0.08821080621289523,51601147666,55481644098,61375222347,60752588976,55966581780,Europe
22,Carolina Wikström,Sweden,2H 33M 19S,9199,1,0,1993-09-04,27,Women,Tokyo2020,0,0,0.10855646002136789,515655000000,541019000000,555455000000,533880000000,541064000000,Europe
23,Ellie Pashley,Australia,2H 33M 39S,9219,1,0,1988-12-10,32,Women,Tokyo2020,1,0,0.0012797479938883804,1208850000000,1329190000000,1432880000000,1396570000000,1330900000000,Oceania
24,Failuna Abdi Matanga,Tanzania,2H 33M 58S,9238,1,0,1992-10-28,28,Women,Tokyo2020,0,0,8.52107987092757e-6,49774021003,53320625959,57003713748,61136873747,62409748427,Africa
25,Fionnuala McCormack,Ireland,2H 34M 9S,9249,1,0,1984-09-24,36,Women,Tokyo2020,1,1,0.058556287056006365,298725000000,334602000000,384854000000,399122000000,425889000000,Europe
26,Lisa Jane Weightman,Australia,2H 34M 19S,9259,1,0,1979-01-16,42,Women,Tokyo2020,1,1,0.0012797479938883804,1208850000000,1329190000000,1432880000000,1396570000000,1330900000000,Oceania
27,Gladys Tejeda,Peru,2H 34M 21S,9261,1,0,1985-09-30,35,Women,Tokyo2020,1,1,0.06367620423800353,191896000000,211007000000,222575000000,228471000000,202014000000,South America
28,Mieke Gorissen,Belgium,2H 34M 24S,9264,0,0,1982-11-29,38,Women,Tokyo2020,1,0,0.09677157756863718,475740000000,501523000000,543411000000,533255000000,515332000000,Europe
29,Elena Loyo,Spain,2H 34M 38S,9278,1,0,1983-01-11,38,Women,Tokyo2020,1,0,0.09088392090280903,1232080000000,1309300000000,1420300000000,1393050000000,1281480000000,Europe
30,Carla Salomé Rocha,Portugal,2H 34M 52S,9292,1,0,1990-04-25,31,Women,Tokyo2020,1,0,0.09250476648980892,206286000000,220811000000,242195000000,239511000000,231227000000,Europe
31,Katharina Steinruck,Germany,2H 35M 0S,9300,0,0,1989-08-22,31,Women,Tokyo2020,1,0,0.04519780649230953,3467500000000,3681730000000,3975350000000,3888330000000,3846410000000,Europe
32,Giovanna Epis,Italy,2H 35M 9S,9309,1,0,1988-10-11,32,Women,Tokyo2020,1,0,0.07115883099002564,1875800000000,1956950000000,2091120000000,2004910000000,1886450000000,Europe
33,Honami Maeda,Japan,2H 35M 28S,9328,0,0,1996-07-17,25,Women,Tokyo2020,0,0,0.006781696875160751,5003680000000,4930840000000,5036890000000,5148780000000,4975420000000,Asia
34,Choi Kyung-sun,South Korea,2H 35M 33S,9333,1,0,1992-03-16,29,Women,Tokyo2020,0,0,0.0036227025501849716,1500110000000,1623900000000,1724850000000,1646740000000,1630530000000,Asia
35,Aleksandra Lisowska,Poland,2H 35M 33S,9333,0,0,1990-12-12,30,Women,Tokyo2020,1,0,0.0761452711544404,472630000000,526509000000,587409000000,595862000000,594165000000,Europe
36,Darya Maslova,Kyrgyzstan,2H 35M 35S,9335,1,0,1995-05-06,26,Women,Tokyo2020,1,0,0.023585759521755265,6813092066,7702934800,8271106196,8871019823,7735976613,Asia
37,Marta Galimany,Spain,2H 35M 39S,9339,1,0,1985-10-05,35,Women,Tokyo2020,1,0,0.09088392090280903,1232080000000,1309300000000,1420300000000,1393050000000,1281480000000,Europe
38,Susan Jeptooo Kipsang,France,2H 36M 29S,9389,1,0,1987-03-07,34,Women,Tokyo2020,1,0,0.0918954395032031,2471290000000,2588740000000,2789590000000,2728870000000,2630320000000,Africa
